proximity,trajectory,anomaly,cnn,occlusion,merge,kinetic,density,avg_speed,stopped_ratio,label
0.0,0.0,0.0,0.9521157145500183,0.0,0.0,0.0,0.0,0.0,0.0,0
0.18145235888016942,0.0,0.0,0.9326982498168945,0.24983541486841895,0.0,0.0,0.25,0.0,1.0,1
0.0,0.0,0.0,0.11393606662750244,0.0,0.0,0.0,0.1,0.0,1.0,0
0.051506165416750044,0.0,0.0,0.9871087670326233,0.035891662899163006,0.0,0.0,0.2,0.0,1.0,0
0.24710786390832182,0.0,0.0,0.047863543033599854,0.24845219128314686,0.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.8403668999671936,0.0,0.0,0.0,0.15,0.0,1.0,1
0.16413909866890614,0.0,0.0,0.9089089632034302,0.24653425989107905,0.0,0.0,0.45,0.0,1.0,1
0.0,0.0,0.0,0.9846988320350647,0.0,0.0,0.0,0.4,0.0,1.0,1
0.0,0.0,0.0,0.5500473976135254,0.0,0.0,0.0,0.1,0.0,1.0,1
0.21731079129095868,0.0,0.0,0.8771032094955444,0.24328744802090246,0.0,0.0,0.4,0.0,1.0,1
0.4292799912095955,0.4,0.21888254582881927,0.0727887973189354,0.989126604940698,0.0,0.0,0.1,16.0064169893046,0.5,1
0.8151728051146225,0.95,0.7072615345319112,0.9940752983093233,1.0,1.0,0.9088023921801331,0.15,7.477221411245285,0.3333333333333333,1
0.9982924486105436,0.95,0.9247424364089966,0.991169810295105,0.9992942746672758,1.0,0.866911960645986,0.1,5.616247099586858,0.5,1
0.0,0.0,0.7,0.9918701648712158,0.0,0.0,0.0,0.05,19.417103515988714,0.0,1
0.9934548274156891,0.4,0.7291748702526092,0.9904955625534058,0.9962813662206643,1.0,0.0,0.2,15.787795117934014,0.25,1
0.9904334946693505,0.95,0.7,0.30233973264694214,0.9809390819450426,1.0,0.9520221844212814,0.25,7.869230433994979,0.2,0
0.5797887886305759,0.0,0.16953480045000713,0.9917164444923401,0.061277395796620227,0.0,0.0,0.7,16.418850995769862,0.6428571428571429,1
0.2133325201311156,0.4,0.08829922278722128,0.995424211025238,0.8805213885241111,0.0,0.0,0.1,4.049151718098891,0.5,0
0.9787014023198274,0.95,0.7,0.008733189664781094,0.992798473731854,1.0,0.0,0.35,2.781303943873852,0.5714285714285714,0
0.2588535980814616,0.4,0.10177950366550921,0.995424211025238,0.9458474054906174,0.0,0.0,0.1,5.0462929184591,0.0,1
0.26168438346671663,0.95,0.7,0.9862474799156189,0.615536152432789,0.0,0.0,0.65,50.457883427702704,0.9230769230769231,1
0.283632724714566,0.0,0.7,0.9866065979003906,0.10464759345329454,0.0,0.0,0.1,20.387209797875563,0.0,1
0.058703525349303315,0.0,0.21,0.04542684182524681,0.0,0.0,0.0,1.0,2.740785125145538,0.75,0
